recommendation_id,timestamp,coin,recommendation,rec_price,current_price,change_pct,outcome,outcome_display,llm_source,mode,consensus
rec_20260413_005811_SHIB,2026-04-13T00:58:11.045733Z,SHIB,HOLD,5.8e-06,5.94e-06,2.4%,,(+2.4%),grok,"compare,",
rec_20260413_012729_DOGINME,2026-04-13T01:27:29.702060Z,DOGINME,HOLD,9.81e-05,0.0001012,3.2%,,(+3.2%),perplexity,"compare,",
rec_20260413_012845_DOGE,2026-04-13T01:28:45.721728Z,DOGE,HOLD,0.09134,0.09368,2.6%,,(+2.6%),gemini,"compare,",
rec_20260413_012859_SHIB,2026-04-13T01:28:59.610830Z,SHIB,SELL,5.79e-06,5.94e-06,2.6%,INCORRECT,Incorrect (+2.6%),gemini,"compare,",
rec_20260413_013516_BONK,2026-04-13T01:35:16.704136Z,BONK,SELL,5.7e-06,5.97e-06,4.7%,INCORRECT,Incorrect (+4.7%),grok,"integrate,",
rec_20260413_013713_PEPE,2026-04-13T01:37:13.458636Z,PEPE,BUY,3.51e-06,3.71e-06,5.7%,CORRECT,Correct (+5.7%),grok,"integrate,",
rec_20260413_013847_SHIB,2026-04-13T01:38:47.700624Z,SHIB,HOLD,5.81e-06,5.94e-06,2.2%,,(+2.2%),grok,"integrate,",
rec_20260413_014056_DOGINME,2026-04-13T01:40:56.826678Z,DOGINME,HOLD,9.8e-05,0.0001012,3.3%,,(+3.3%),perplexity,"integrate,",
rec_20260413_014340_WIF,2026-04-13T01:43:40.005190Z,WIF,HOLD,0.189,0.199,5.3%,,(+5.3%),gemini,"integrate,",
rec_20260413_014404_SHIB,2026-04-13T01:44:04.224770Z,SHIB,HOLD,5.79e-06,5.94e-06,2.6%,,(+2.6%),gemini,"integrate,",
rec_20260413_014435_PEPE,2026-04-13T01:44:35.049999Z,PEPE,HOLD,3.5e-06,3.71e-06,6.0%,,(+6.0%),gemini,"integrate,",
